Artista,Titulo,Lugar,Fecha,Dimension,Enlace
José Clemente Orozco,Zapata,Mexico (Artist's nationality:),1930,198.8 × 122.6 cm (78 1/4 × 48 1/4 in.),https://www.artic.edu/artworks/40619/zapata
José Clemente Orozco,The Flag,Mexico (Artist's nationality:),1928,25.8 × 42.8 cm (10 3/16 × 16 7/8 in.),https://www.artic.edu/artworks/21656/the-flag
José Clemente Orozco,Zapatistas,Mexico (Artist's nationality:),1935,Image: 33.1 × 42.2 cm (13 1/16 × 16 5/8 in.); Sheet: 42.6 × 58 cm (16 13/16 × 22 7/8 in.),https://www.artic.edu/artworks/49614/zapatistas
